1,in_use,,,Opcode,prependage,appendage,Specific,variant,comments,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,31:30:29:28:27:26:25:24:23:22:21:20:19:18:17:16:15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,,Binary,,NAME,//		Opcode                                                          	BINARY    	OPCODE    	comments,//		BINARY    	Opcode    	Opcode	comments
290,,,,EOR,,immx,imm,X,,,1,1,0,1,0,0,1,0,0,-,immr,,,,,,imms,,,,,,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:immr::::::imms::::::Rn:::::Rd::::,,0xD2000000,,"eorimmx,                                                ","		eorimmx,                                                	/* 0xD2000000	EOR       	 */","		0xD2000000,	/* EOR       	eorimmx	 */"
291,,,,ANDS,,immx,imm,X,,,1,1,1,1,0,0,1,0,0,-,immr,,,,,,imms,,,,,,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:immr::::::imms::::::Rn:::::Rd::::,,0xF2000000,,"andsimmx,                                               ","		andsimmx,                                               	/* 0xF2000000	ANDS      	 */","		0xF2000000,	/* ANDS      	andsimmx	 */"
292,,,Move wide (immediate),,,,,,,,sf,opc,,1,0,0,1,0,1,hw,,imm16,,,,,,,,,,,,,,,,Rd,,,,,,,,,,,	/* Move wide (immediate) */,	/* Move wide (immediate) */
293,,,,MOVN,,w,,W,,,0,0,0,1,0,0,1,0,1,-,-,imm16,,,,,,,,,,,,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::Rd::::,,0x12800000,,"movnw,                                                  ","		movnw,                                                  	/* 0x12800000	MOVN      	 */","		0x12800000,	/* MOVN      	movnw	 */"
294,,,,MOVZ,,w,,W,,,0,1,0,1,0,0,1,0,1,-,-,imm16,,,,,,,,,,,,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::Rd::::,,0x52800000,,"movzw,                                                  ","		movzw,                                                  	/* 0x52800000	MOVZ      	 */","		0x52800000,	/* MOVZ      	movzw	 */"
295,,,,MOVK,,w,,W,,,0,1,1,1,0,0,1,0,1,-,-,imm16,,,,,,,,,,,,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::Rd::::,,0x72800000,,"movkw,                                                  ","		movkw,                                                  	/* 0x72800000	MOVK      	 */","		0x72800000,	/* MOVK      	movkw	 */"
296,,,,MOVN,,x,,X,,,1,0,0,1,0,0,1,0,1,-,-,imm16,,,,,,,,,,,,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::Rd::::,,0x92800000,,"movnx,                                                  ","		movnx,                                                  	/* 0x92800000	MOVN      	 */","		0x92800000,	/* MOVN      	movnx	 */"
297,,,,MOVZ,,x,,X,,,1,1,0,1,0,0,1,0,1,-,-,imm16,,,,,,,,,,,,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::Rd::::,,0xD2800000,,"movzx,                                                  ","		movzx,                                                  	/* 0xD2800000	MOVZ      	 */","		0xD2800000,	/* MOVZ      	movzx	 */"
298,,,,MOVK,,x,,X,,,1,1,1,1,0,0,1,0,1,-,-,imm16,,,,,,,,,,,,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:imm16::::::::::::::::Rd::::,,0xF2800000,,"movkx,                                                  ","		movkx,                                                  	/* 0xF2800000	MOVK      	 */","		0xF2800000,	/* MOVK      	movkx	 */"
299,,,Bitfield,,,,,,,,sf,opc,,1,0,0,1,1,0,N,immr,,,,,,imms,,,,,,Rn,,,,,Rd,,,,,,,,,,,	/* Bitfield */,	/* Bitfield */
300,,,,SBFM,,w,,W,,,0,0,0,1,0,0,1,1,0,0,immr,,,,,,imms,,,,,,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:immr::::::imms::::::Rn:::::Rd::::,,0x13000000,,"sbfmw,                                                  ","		sbfmw,                                                  	/* 0x13000000	SBFM      	 */","		0x13000000,	/* SBFM      	sbfmw	 */"
301,,,,BFM,,w,,W,,,0,0,1,1,0,0,1,1,0,0,immr,,,,,,imms,,,,,,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:immr::::::imms::::::Rn:::::Rd::::,,0x33000000,,"bfmw,                                                   ","		bfmw,                                                   	/* 0x33000000	BFM       	 */","		0x33000000,	/* BFM       	bfmw	 */"
302,,,,UBFM,,w,,W,,,0,1,0,1,0,0,1,1,0,0,immr,,,,,,imms,,,,,,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:immr::::::imms::::::Rn:::::Rd::::,,0x53000000,,"ubfmw,                                                  ","		ubfmw,                                                  	/* 0x53000000	UBFM      	 */","		0x53000000,	/* UBFM      	ubfmw	 */"
303,,,,SBFM,,x,,X,,,1,0,0,1,0,0,1,1,0,1,immr,,,,,,imms,,,,,,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:immr::::::imms::::::Rn:::::Rd::::,,0x93400000,,"sbfmx,                                                  ","		sbfmx,                                                  	/* 0x93400000	SBFM      	 */","		0x93400000,	/* SBFM      	sbfmx	 */"
304,,,,BFM,,x,,X,,,1,0,1,1,0,0,1,1,0,1,immr,,,,,,imms,,,,,,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:immr::::::imms::::::Rn:::::Rd::::,,0xB3400000,,"bfmx,                                                   ","		bfmx,                                                   	/* 0xB3400000	BFM       	 */","		0xB3400000,	/* BFM       	bfmx	 */"
305,,,,UBFM,,x,,X,,,1,1,0,1,0,0,1,1,0,1,immr,,,,,,imms,,,,,,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:immr::::::imms::::::Rn:::::Rd::::,,0xD3400000,,"ubfmx,                                                  ","		ubfmx,                                                  	/* 0xD3400000	UBFM      	 */","		0xD3400000,	/* UBFM      	ubfmx	 */"
306,,,Extract,,,,,,,,sf,op21,,1,0,0,1,1,1,N,o0,Rm,,,,,imms,,,,,,Rn,,,,,Rd,,,,,,,,,,,	/* Extract */,	/* Extract */
307,,,,EXTR,,w,,W,,,0,0,0,1,0,0,1,1,1,0,0,Rm,,,,,0,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x13800000,,"extrw,                                                  ","		extrw,                                                  	/* 0x13800000	EXTR      	 */","		0x13800000,	/* EXTR      	extrw	 */"
308,,,,EXTR,,x,,X,,,1,0,0,1,0,0,1,1,1,1,0,Rm,,,,,1,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x93C08000,,"extrx,                                                  ","		extrx,                                                  	/* 0x93C08000	EXTR      	 */","		0x93C08000,	/* EXTR      	extrx	 */"
309,,Data Processing – register,,,,,,,,,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/* Data Processing – register */,/* Data Processing – register */
310,,,Logical (shifted register),,,,,,,,sf,opc,,0,1,0,1,0,shift,,N,Rm,,,,,imm6,,,,,,Rn,,,,,Rd,,,,,,,,,,,	/* Logical (shifted register) */,	/* Logical (shifted register) */
311,,,,AND,,w,,W,,,0,0,0,0,1,0,1,0,shift,,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x0A000000,,"andw,                                                   ","		andw,                                                   	/* 0x0A000000	AND       	 */","		0x0A000000,	/* AND       	andw	 */"
312,,,,BIC,,w,,W,,,0,0,0,0,1,0,1,0,shift,,1,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x0A200000,,"bicw,                                                   ","		bicw,                                                   	/* 0x0A200000	BIC       	 */","		0x0A200000,	/* BIC       	bicw	 */"
313,,,,ORR,,w,,W,,,0,0,1,0,1,0,1,0,shift,,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x2A000000,,"orrw,                                                   ","		orrw,                                                   	/* 0x2A000000	ORR       	 */","		0x2A000000,	/* ORR       	orrw	 */"
314,,,,ORN,,w,,W,,,0,0,1,0,1,0,1,0,shift,,1,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x2A200000,,"ornw,                                                   ","		ornw,                                                   	/* 0x2A200000	ORN       	 */","		0x2A200000,	/* ORN       	ornw	 */"
315,,,,EOR,,w,,W,,,0,1,0,0,1,0,1,0,shift,,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x4A000000,,"eorw,                                                   ","		eorw,                                                   	/* 0x4A000000	EOR       	 */","		0x4A000000,	/* EOR       	eorw	 */"
316,,,,EON,,w,,W,,,0,1,0,0,1,0,1,0,shift,,1,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x4A200000,,"eonw,                                                   ","		eonw,                                                   	/* 0x4A200000	EON       	 */","		0x4A200000,	/* EON       	eonw	 */"
317,,,,ANDS,,w,,W,,,0,1,1,0,1,0,1,0,shift,,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x6A000000,,"andsw,                                                  ","		andsw,                                                  	/* 0x6A000000	ANDS      	 */","		0x6A000000,	/* ANDS      	andsw	 */"
318,,,,BICS,,w,,W,,,0,1,1,0,1,0,1,0,shift,,1,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x6A200000,,"bicsw,                                                  ","		bicsw,                                                  	/* 0x6A200000	BICS      	 */","		0x6A200000,	/* BICS      	bicsw	 */"
319,,,,AND,,x,,X,,,1,0,0,0,1,0,1,0,shift,,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x8A000000,,"andx,                                                   ","		andx,                                                   	/* 0x8A000000	AND       	 */","		0x8A000000,	/* AND       	andx	 */"
320,,,,BIC,,x,,X,,,1,0,0,0,1,0,1,0,shift,,1,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x8A200000,,"bicx,                                                   ","		bicx,                                                   	/* 0x8A200000	BIC       	 */","		0x8A200000,	/* BIC       	bicx	 */"
321,,,,ORR,,x,,X,,,1,0,1,0,1,0,1,0,shift,,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0xAA000000,,"orrx,                                                   ","		orrx,                                                   	/* 0xAA000000	ORR       	 */","		0xAA000000,	/* ORR       	orrx	 */"
322,,,,ORN,,x,,X,,,1,0,1,0,1,0,1,0,shift,,1,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0xAA200000,,"ornx,                                                   ","		ornx,                                                   	/* 0xAA200000	ORN       	 */","		0xAA200000,	/* ORN       	ornx	 */"
323,,,,EOR,,x,,X,,,1,1,0,0,1,0,1,0,shift,,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0xCA000000,,"eorx,                                                   ","		eorx,                                                   	/* 0xCA000000	EOR       	 */","		0xCA000000,	/* EOR       	eorx	 */"
324,,,,EON,,x,,X,,,1,1,0,0,1,0,1,0,shift,,1,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0xCA200000,,"eonx,                                                   ","		eonx,                                                   	/* 0xCA200000	EON       	 */","		0xCA200000,	/* EON       	eonx	 */"
325,,,,ANDS,,x,,X,,,1,1,1,0,1,0,1,0,shift,,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0xEA000000,,"andsx,                                                  ","		andsx,                                                  	/* 0xEA000000	ANDS      	 */","		0xEA000000,	/* ANDS      	andsx	 */"
326,,,,BICS,,x,,X,,,1,1,1,0,1,0,1,0,shift,,1,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:shift::-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0xEA200000,,"bicsx,                                                  ","		bicsx,                                                  	/* 0xEA200000	BICS      	 */","		0xEA200000,	/* BICS      	bicsx	 */"
327,,,Add/subtract (shifted register),,,,,,,,sf,op,S,0,1,0,1,1,shift,,0,Rm,,,,,imm6,,,,,,Rn,,,,,Rd,,,,,,,,,,,	/* Add/subtract (shifted register) */,	/* Add/subtract (shifted register) */
328,,,,ADD,,w,,W,,,0,0,0,0,1,0,1,1,-,-,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x0B000000,,"addw,                                                   ","		addw,                                                   	/* 0x0B000000	ADD       	 */","		0x0B000000,	/* ADD       	addw	 */"
329,,,,ADDS,,w,,W,,,0,0,1,0,1,0,1,1,-,-,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x2B000000,,"addsw,                                                  ","		addsw,                                                  	/* 0x2B000000	ADDS      	 */","		0x2B000000,	/* ADDS      	addsw	 */"
330,,,,SUB,,w,,W,,,0,1,0,0,1,0,1,1,-,-,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x4B000000,,"subw,                                                   ","		subw,                                                   	/* 0x4B000000	SUB       	 */","		0x4B000000,	/* SUB       	subw	 */"
331,,,,SUBS,,w,,W,,,0,1,1,0,1,0,1,1,-,-,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x6B000000,,"subsw,                                                  ","		subsw,                                                  	/* 0x6B000000	SUBS      	 */","		0x6B000000,	/* SUBS      	subsw	 */"
332,,,,ADD,,x,,X,,,1,0,0,0,1,0,1,1,-,-,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x8B000000,,"addx,                                                   ","		addx,                                                   	/* 0x8B000000	ADD       	 */","		0x8B000000,	/* ADD       	addx	 */"
333,,,,ADDS,,x,,X,,,1,0,1,0,1,0,1,1,-,-,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0xAB000000,,"addsx,                                                  ","		addsx,                                                  	/* 0xAB000000	ADDS      	 */","		0xAB000000,	/* ADDS      	addsx	 */"
334,,,,SUB,,x,,X,,,1,1,0,0,1,0,1,1,-,-,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0xCB000000,,"subx,                                                   ","		subx,                                                   	/* 0xCB000000	SUB       	 */","		0xCB000000,	/* SUB       	subx	 */"
335,,,,SUBS,,x,,X,,,1,1,1,0,1,0,1,1,-,-,0,Rm,,,,,-,-,-,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0xEB000000,,"subsx,                                                  ","		subsx,                                                  	/* 0xEB000000	SUBS      	 */","		0xEB000000,	/* SUBS      	subsx	 */"
336,,,Add/subtract (extended register),,,,,,,,sf,op,S,0,1,0,1,1,opt,,1,Rm,,,,,option,,,imm3,,,Rn,,,,,Rd,,,,,,,,,,,	/* Add/subtract (extended register) */,	/* Add/subtract (extended register) */
337,,,,ADD,,extw,ext,W,,,0,0,0,0,1,0,1,1,0,0,1,Rm,,,,,option,,,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::option:::-:-:-:Rn:::::Rd::::,,0x0B200000,,"addextw,                                                ","		addextw,                                                	/* 0x0B200000	ADD       	 */","		0x0B200000,	/* ADD       	addextw	 */"
338,,,,ADDS,,extw,ext,W,,,0,0,1,0,1,0,1,1,0,0,1,Rm,,,,,option,,,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::option:::-:-:-:Rn:::::Rd::::,,0x2B200000,,"addsextw,                                               ","		addsextw,                                               	/* 0x2B200000	ADDS      	 */","		0x2B200000,	/* ADDS      	addsextw	 */"
339,,,,SUB,,extw,ext,W,,,0,1,0,0,1,0,1,1,0,0,1,Rm,,,,,option,,,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::option:::-:-:-:Rn:::::Rd::::,,0x4B200000,,"subextw,                                                ","		subextw,                                                	/* 0x4B200000	SUB       	 */","		0x4B200000,	/* SUB       	subextw	 */"
340,,,,SUBS,,extw,ext,W,,,0,1,1,0,1,0,1,1,0,0,1,Rm,,,,,option,,,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::option:::-:-:-:Rn:::::Rd::::,,0x6B200000,,"subsextw,                                               ","		subsextw,                                               	/* 0x6B200000	SUBS      	 */","		0x6B200000,	/* SUBS      	subsextw	 */"
341,,,,ADD,,extx,ext,X,,,1,0,0,0,1,0,1,1,0,0,1,Rm,,,,,option,,,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::option:::-:-:-:Rn:::::Rd::::,,0x8B200000,,"addextx,                                                ","		addextx,                                                	/* 0x8B200000	ADD       	 */","		0x8B200000,	/* ADD       	addextx	 */"
342,,,,ADDS,,extx,ext,X,,,1,0,1,0,1,0,1,1,0,0,1,Rm,,,,,option,,,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::option:::-:-:-:Rn:::::Rd::::,,0xAB200000,,"addsextx,                                               ","		addsextx,                                               	/* 0xAB200000	ADDS      	 */","		0xAB200000,	/* ADDS      	addsextx	 */"
343,,,,SUB,,extx,ext,X,,,1,1,0,0,1,0,1,1,0,0,1,Rm,,,,,option,,,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::option:::-:-:-:Rn:::::Rd::::,,0xCB200000,,"subextx,                                                ","		subextx,                                                	/* 0xCB200000	SUB       	 */","		0xCB200000,	/* SUB       	subextx	 */"
344,,,,SUBS,,extx,ext,X,,,1,1,1,0,1,0,1,1,0,0,1,Rm,,,,,option,,,-,-,-,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::option:::-:-:-:Rn:::::Rd::::,,0xEB200000,,"subsextx,                                               ","		subsextx,                                               	/* 0xEB200000	SUBS      	 */","		0xEB200000,	/* SUBS      	subsextx	 */"
345,,,Add/subtract (with carry),,,,,,,,sf,op,S,1,1,0,1,0,0,0,0,Rm,,,,,opcode2,,,,,,Rn,,,,,Rd,,,,,,,,,,,	/* Add/subtract (with carry) */,	/* Add/subtract (with carry) */
346,,,,ADC,,w,,W,,,0,0,0,1,1,0,1,0,0,0,0,Rm,,,,,0,0,0,0,0,0,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x1A000000,,"adcw,                                                   ","		adcw,                                                   	/* 0x1A000000	ADC       	 */","		0x1A000000,	/* ADC       	adcw	 */"
347,,,,ADCS,,w,,W,,,0,0,1,1,1,0,1,0,0,0,0,Rm,,,,,0,0,0,0,0,0,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x3A000000,,"adcsw,                                                  ","		adcsw,                                                  	/* 0x3A000000	ADCS      	 */","		0x3A000000,	/* ADCS      	adcsw	 */"
348,,,,SBC,,w,,W,,,0,1,0,1,1,0,1,0,0,0,0,Rm,,,,,0,0,0,0,0,0,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x5A000000,,"sbcw,                                                   ","		sbcw,                                                   	/* 0x5A000000	SBC       	 */","		0x5A000000,	/* SBC       	sbcw	 */"
349,,,,SBCS,,w,,W,,,0,1,1,1,1,0,1,0,0,0,0,Rm,,,,,0,0,0,0,0,0,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x7A000000,,"sbcsw,                                                  ","		sbcsw,                                                  	/* 0x7A000000	SBCS      	 */","		0x7A000000,	/* SBCS      	sbcsw	 */"
350,,,,ADC,,x,,X,,,1,0,0,1,1,0,1,0,0,0,0,Rm,,,,,0,0,0,0,0,0,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0x9A000000,,"adcx,                                                   ","		adcx,                                                   	/* 0x9A000000	ADC       	 */","		0x9A000000,	/* ADC       	adcx	 */"
351,,,,ADCS,,x,,X,,,1,0,1,1,1,0,1,0,0,0,0,Rm,,,,,0,0,0,0,0,0,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0xBA000000,,"adcsx,                                                  ","		adcsx,                                                  	/* 0xBA000000	ADCS      	 */","		0xBA000000,	/* ADCS      	adcsx	 */"
352,,,,SBC,,x,,X,,,1,1,0,1,1,0,1,0,0,0,0,Rm,,,,,0,0,0,0,0,0,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0xDA000000,,"sbcx,                                                   ","		sbcx,                                                   	/* 0xDA000000	SBC       	 */","		0xDA000000,	/* SBC       	sbcx	 */"
353,,,,SBCS,,x,,X,,,1,1,1,1,1,0,1,0,0,0,0,Rm,,,,,0,0,0,0,0,0,Rn,,,,,Rd,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rm:::::-:-:-:-:-:-:Rn:::::Rd::::,,0xFA000000,,"sbcsx,                                                  ","		sbcsx,                                                  	/* 0xFA000000	SBCS      	 */","		0xFA000000,	/* SBCS      	sbcsx	 */"
354,,,Conditional compare (register),,,,,,,,sf,op,S,1,1,0,1,0,0,1,0,imm5,,,,,cond,,,,0,o2,Rn,,,,,o3,nzcv,,,,,,,,,,	/* Conditional compare (register) */,	/* Conditional compare (register) */
355,,,,CCMN,,w,,W,,,0,0,1,1,1,0,1,0,0,1,0,imm5,,,,,cond,,,,0,0,Rn,,,,,0,nzcv,,,,,-:-:-:-:-:-:-:-:-:-:-:imm5:::::cond::::-:-:Rn:::::-:nzcv:::,,0x3A400000,,"ccmnw,                                                  ","		ccmnw,                                                  	/* 0x3A400000	CCMN      	 */","		0x3A400000,	/* CCMN      	ccmnw	 */"
356,,,,CCMN,,x,,X,,,1,0,1,1,1,0,1,0,0,1,0,imm5,,,,,cond,,,,0,0,Rn,,,,,0,nzcv,,,,,-:-:-:-:-:-:-:-:-:-:-:imm5:::::cond::::-:-:Rn:::::-:nzcv:::,,0xBA400000,,"ccmnx,                                                  ","		ccmnx,                                                  	/* 0xBA400000	CCMN      	 */","		0xBA400000,	/* CCMN      	ccmnx	 */"
357,,,,CCMP,,w,,W,,,0,1,1,1,1,0,1,0,0,1,0,imm5,,,,,cond,,,,0,0,Rn,,,,,0,nzcv,,,,,-:-:-:-:-:-:-:-:-:-:-:imm5:::::cond::::-:-:Rn:::::-:nzcv:::,,0x7A400000,,"ccmpw,                                                  ","		ccmpw,                                                  	/* 0x7A400000	CCMP      	 */","		0x7A400000,	/* CCMP      	ccmpw	 */"
358,,,,CCMP,,x,,X,,,1,1,1,1,1,0,1,0,0,1,0,imm5,,,,,cond,,,,0,0,Rn,,,,,0,nzcv,,,,,-:-:-:-:-:-:-:-:-:-:-:imm5:::::cond::::-:-:Rn:::::-:nzcv:::,,0xFA400000,,"ccmpx,                                                  ","		ccmpx,                                                  	/* 0xFA400000	CCMP      	 */","		0xFA400000,	/* CCMP      	ccmpx	 */"
359,,,Conditional compare (immediate),,,,,,,,sf,op,S,1,1,0,1,0,0,1,0,imm5,,,,,cond,,,,1,o2,Rn,,,,,o3,nzcv,,,,,,,,,,	/* Conditional compare (immediate) */,	/* Conditional compare (immediate) */
360,,,,CCMN,,immw,imm,W,,,0,0,1,1,1,0,1,0,0,1,0,imm5,,,,,cond,,,,1,0,Rn,,,,,0,nzcv,,,,,-:-:-:-:-:-:-:-:-:-:-:imm5:::::cond::::-:-:Rn:::::-:nzcv:::,,0x3A400800,,"ccmnimmw,                                               ","		ccmnimmw,                                               	/* 0x3A400800	CCMN      	 */","		0x3A400800,	/* CCMN      	ccmnimmw	 */"
361,,,,CCMN,,immx,imm,X,,,1,0,1,1,1,0,1,0,0,1,0,imm5,,,,,cond,,,,1,0,Rn,,,,,0,nzcv,,,,,-:-:-:-:-:-:-:-:-:-:-:imm5:::::cond::::-:-:Rn:::::-:nzcv:::,,0xBA400800,,"ccmnimmx,                                               ","		ccmnimmx,                                               	/* 0xBA400800	CCMN      	 */","		0xBA400800,	/* CCMN      	ccmnimmx	 */"
362,,,,CCMP,,immw,imm,W,,,0,1,1,1,1,0,1,0,0,1,0,imm5,,,,,cond,,,,1,0,Rn,,,,,0,nzcv,,,,,-:-:-:-:-:-:-:-:-:-:-:imm5:::::cond::::-:-:Rn:::::-:nzcv:::,,0x7A400800,,"ccmpimmw,                                               ","		ccmpimmw,                                               	/* 0x7A400800	CCMP      	 */","		0x7A400800,	/* CCMP      	ccmpimmw	 */"
363,,,,CCMP,,immx,imm,X,,,1,1,1,1,1,0,1,0,0,1,0,imm5,,,,,cond,,,,1,0,Rn,,,,,0,nzcv,,,,,-:-:-:-:-:-:-:-:-:-:-:imm5:::::cond::::-:-:Rn:::::-:nzcv:::,,0xFA400800,,"ccmpimmx,                                               ","		ccmpimmx,                                               	/* 0xFA400800	CCMP      	 */","		0xFA400800,	/* CCMP      	ccmpimmx	 */"
